sample_id,genbank_species,a1_assignment,a1_species,a1_clade,country,locality,match_status,source
HNFL01,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Fuluo, Hainan Island",mismatch,Yang et al. (2022)
HNFL02,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Fuluo, Hainan Island",mismatch,Yang et al. (2022)
HNFL03,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Fuluo, Hainan Island",mismatch,Yang et al. (2022)
HNLY01,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Luoyang, Henan",mismatch,Yang et al. (2022)
HNXY05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Xinyang, Henan",mismatch,Yang et al. (2022)
SHLC15,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Luchao, Shanghai",mismatch,Yang et al. (2022)
ZJDQ05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Hangzhou, Zhejiang",mismatch,Yang et al. (2022)
ZJDQ09,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Hangzhou, Zhejiang",mismatch,Yang et al. (2022)
ZJJX04,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Hangzhou, Zhejiang",mismatch,Yang et al. (2022)
ZJJX10,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Hangzhou, Zhejiang",mismatch,Yang et al. (2022)
ZJLX05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX06,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX08,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX09,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX10,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX12,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX14,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX15,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJNB04,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Beilun, Zhejiang",mismatch,Yang et al. (2022)
ZJPH02,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Pinghu, Zhejiang",mismatch,Yang et al. (2022)
ZJPH03,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Pinghu, Zhejiang",mismatch,Yang et al. (2022)
ZJPH04,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Pinghu, Zhejiang",mismatch,Yang et al. (2022)
ZJPH05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Pinghu, Zhejiang",mismatch,Yang et al. (2022)
ZJPJ01,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJPJ02,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
