sample_id,a1_assignment,a1_species,a1_clade,genbank_label_original,genbank_species,match_status,voucher,locality,country,lat,lon,voucher_status,notes_on_identity,source
HNFL01,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,HNFL01,"Fuluo, Hainan Island",China,18.5988,108.7235,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
HNFL02,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,HNFL02,"Fuluo, Hainan Island",China,18.5988,108.7235,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
HNFL03,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,HNFL03,"Fuluo, Hainan Island",China,18.5988,108.7235,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
HNLY01,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,HNLY01,"Luoyang, Henan",China,34.6196,112.4541,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
HNXY05,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,HNXY05,"Xinyang, Henan",China,32.1649,114.0911,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
SHLC15,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,SHLC15,"Luchao, Shanghai",China,30.8818,121.8359,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJDQ05,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJDQ05,"Hangzhou, Zhejiang",China,30.46,120.45,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJDQ09,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJDQ09,"Hangzhou, Zhejiang",China,30.46,120.45,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJJX04,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJJX04,"Hangzhou, Zhejiang",China,30.46,120.45,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJJX10,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJJX10,"Hangzhou, Zhejiang",China,30.46,120.45,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX05,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX05,"Jinhua, Zhejiang",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX06,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX06,"Jinhua, Zhejiang",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX08,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX08,"Jinhua, Zhejiang",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX09,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX09,"Jinhua, Zhejiang",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX10,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX10,"Jinhua, Zhejiang",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX12,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX12,"Jinhua, Zhejiang",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX14,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX14,"Jinhua, Zhejiang",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX15,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX15,"Jinhua, Zhejiang",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJNB04,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJNB04,"Beilun, Zhejiang",China,29.8999,121.8719,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPH02,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPH02,"Pinghu, Zhejiang",China,30.6396,121.0488,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPH03,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPH03,"Pinghu, Zhejiang",China,30.6396,121.0488,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPH04,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPH04,"Pinghu, Zhejiang",China,30.6396,121.0488,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPH05,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPH05,"Pinghu, Zhejiang",China,30.6396,121.0488,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPJ01,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPJ01,"Jinhua, Zhejiang",China,29.4847,120.0118,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPJ02,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPJ02,"Jinhua, Zhejiang",China,29.4847,120.0118,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPJ03,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPJ03,"Jinhua, Zhejiang",China,29.4847,120.0118,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPJ04,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPJ04,"Jinhua, Zhejiang",China,29.4847,120.0118,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPJ05,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPJ05,"Jinhua, Zhejiang",China,29.4847,120.0118,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPJ09,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPJ09,"Jinhua, Zhejiang",China,29.4847,120.0118,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
